global_index,entity,label
88,Jia Rizvi Contributeur Forbes,PER
88,Statista,MISC
88,Botox,LOC
88,États-Unis,LOC
88,Aesthetic Society,ORG
88,David Brown,PER
88,Seragon Biosciences,PER
88,université de Harvard,ORG
88,Mayo,PER
88,RESTORIN,ORG
88,Brown,PER
88,Mavis Henriques,PER
88,Debasis Patnaik,PER
88,McKinsey,MISC
88,Z,MISC
88,McKinsey,MISC
89,Google,ORG
89,Facebook,MISC
89,Twitter,MISC
89,Edwin Chen,PER
89,Surge AI,PER
89,Surge,LOC
89,Forbes 400,MISC
91,Annoncée,LOC
91,G20,ORG
91,Commission européenne,ORG
91,Ursula von der Leyen,PER
91,Macky,MISC
91,Sénégal,LOC
91,Nana Akufo-Addo,PER
91,Ghana-,LOC
91,Ugur Sahin,MISC
91,État,LOC
91,Paul Kagame,PER
91,Kigali,PER
91,Paul Kagame,PER
91,ARNm,LOC
91,Afrique,LOC
91,Pfizer,ORG
91,Covid-19,ORG
91,Mayence,LOC
91,Allemagne,LOC
91,Kigali,LOC
91,ARNm,MISC
91,Afrique,LOC
91,Covid-19,ORG
91,BioNTech,LOC
91,Afrique,LOC
91,Mille Collines,LOC
91,anti-Covid,PER
92,Kigali,LOC
93,Jena McGregor,PER
93,Allstate,PER
93,Chicago,LOC
93,Northbrook,LOC
93,Illinois,LOC
93,Allstate,PER
93,Bob Toohey,PER
93,Allstate,PER
93,l'Afrique,LOC
94,Ghana,LOC
94,Ghana,LOC
95,Assié Kouyaté,PER
95,Exceliam,PER
95,Côte d'Ivoire,LOC
96,FFA,ORG
96,FFA,ORG
96,tech africaine,LOC
96,Africa,LOC
96,The Big,MISC
96,Alina Truhina,PER
96,FFA,ORG
96,Founders Factory Africa,MISC
96,Standard Bank Group,ORG
96,Small Foundation,ORG
96,Netcare Group,ORG
96,FFA,ORG
96,FFA,ORG
96,Standard Bank,ORG
96,Idem,PER
96,FFA,ORG
96,Netcare,ORG
96,Afrique,LOC
96,FFA,ORG
96,Small Foundation,ORG
96,FFA,ORG
97,VTC,ORG
97,Côte d'Ivoire,LOC
97,Yango,LOC
97,Abidjan,LOC
97,Forbes Afrique,ORG
97,Daniil Shuleyko,PER
97,Yango Group,ORG
98,Camerounaise,LOC
98,Elsa Zekeng,PER
98,Szymon Jagiello,PER
98,N,MISC
98,Unesco,ORG
98,Afrique subsaharienne,LOC
98,STIM,ORG
98,Yacine Djibo,PER
98,Speak Up Africa,PER
98,Kenya,LOC
98,Mozambique,LOC
98,Rwa,LOC
98,l'Afrique,LOC
99,Covid-19,MISC
99,EdTech,MISC
99,Bangalore,LOC
99,Divya Gokulnath,LOC
99,Byju,PER
99,Blackstone,ORG
99,UBS,ORG
99,ADQ,ORG
99,Abu Dhabi,PER
99,Great Learning,PER
99,Byju',ORG
99,Northwest Executive,PER
99,Great Learning,PER
99,Singapour,LOC
99,Byju,PER
99,GeoGebra,MISC
99,Divya Gokulnath,LOC
99,Byju Raveendran,ORG
99,Forbes,ORG
99,États-Unis,LOC
99,Moyen-Orient,MISC
99,Coupe du monde de la,MISC
99,FIFA 2022,MISC
99,Qatar,LOC
99,Inde,LOC
99,États-Unis,LOC
99,Ganesh Natarajan,PER
99,5F World,MISC
99,Think & Learn,MISC
99,Byju,PER
99,Divya Gokulnath,MISC
99,RBSA Advisors,PER
99,Ahmedabad,LOC
99,Internet,MISC
99,Divya Gokulnath,MISC
99,Bangalore,LOC
99,Byju Raveendran,ORG
99,Divya Gokulnath,MISC
99,Bangalore,LOC
99,États-Unis,LOC
99,GRE,MISC
99,Raveendran,MISC
99,Byju Raveendran,ORG
99,université de Stanford,ORG
99,Johns Hopkins,PER
99,Raveendran,MISC
99,Gokulnath,PER
99,Think & Learn,MISC
99,post-Covid,PER
99,Ankur Bissen,PER
99,Technopak,LOC
99,Gurgaon,LOC
99,Byju',ORG
99,Vedantu,LOC
99,Unaca-demy,MISC
99,Inde,LOC
99,Byju',ORG
99,Objectif,PER
99,Divya Gokulnath,MISC
99,africains,LOC
100,Douala,LOC
100,Cameroun,LOC
100,Cameroun,LOC
100,Pioneers,LOC
100,Forum Économique,ORG
100,Mondial,LOC
100,Nelly Chatue-Diop,PER
100,Cameroun,LOC
100,Europe,LOC
100,Amérique,LOC
100,Nelly,LOC
100,Afrique francophone,LOC
100,Technology Pioneers,MISC
100,Forum Économique,ORG
100,Technology Pioneer,PER
100,Nelly Chatue-Diop,ORG
100,Forum Économique,ORG
100,Ejara,PER
100,Forum,LOC
100,Ejara,PER
100,Technology Pioneers,PER
100,Saemoon Yoon,PER
100,Community Lead,PER
100,Technology Pioneers,PER
100,Forum Économique Mondial,ORG
100,Ejara,ORG
100,Forum Économique Mondial,ORG
100,Forum Économique,ORG
100,Afrique,LOC
100,Nelly Chatue-Diop d'Ejara,PER
100,Afrique,LOC
100,Africains,LOC
100,Technology Pioneer,PER
100,Vietnam,LOC
100,Rwanda,LOC
100,République tchèque,LOC
100,Ejara,MISC
100,Afrique francophone,LOC
100,Cameroun,LOC
100,Tech Pioneer,PER
100,IoT,MISC
100,Technology,MISC
100,Pioneers,LOC
100,Forum Économique Mondial,ORG
100,Technology,MISC
100,Pioneers,LOC
100,Forum Économique Mondial,ORG
100,Pioneers,LOC
100,Forum Économique Mondial,ORG
100,Pioneers,LOC
100,Contact,MISC
101,Kinshasa,LOC
101,Thunes,LOC
101,Airtel,MISC
101,Money RDC,PER
102,FORBES,ORG
102,FORBESAFRIQUE.COM,ORG
102,Forbes Media LLC,MISC
102,SAS,ORG
102,Franklin D.,PER
102,Paris,LOC
102,RCS,ORG
102,Paris,LOC
102,Directeur,PER
102,Lucien Ebata FORBESAFRIQUE.COM,PER
102,Ionos,MISC
102,France Politique de confidentialité,ORG
102,FORBESAFRIQUE.COM,ORG
102,CONTACT[at]FORBES,ORG
102,AFRIQUE.COM Licence,MISC
102,Par l'accès au site,MISC
102,FORBESAFRIQUE.COM,ORG
102,F. AFRIQUE MEDIA,ORG
102,SAS,ORG
102,F. AFRIQUE MEDIA SAS,ORG
102,F. AFRIQUE MEDIA,ORG
102,SAS,ORG
102,F. AFRIQUE MEDIA,ORG
102,SAS,ORG
102,Conformément aux dispositions de l'article 6-I-7 de la loi pour la confiance en l'économie numérique du 21 juin 2004,MISC
102,FORBESAFRIQUE.COM,ORG
102,FORBESAFRIQUE.COM,ORG
102,FORBESAFRIQUE.COM,ORG
102,AFRIQUE MEDIA,ORG
102,SAS,ORG
102,FORBESAFRIQUE.COM,ORG
102,F. AFRIQUE MEDIA,ORG
102,SAS,ORG
102,Cookies,MISC
102,Cookies,MISC
102,Cookies,MISC
102,Cookies,MISC
102,Vos,PER
102,Internet,MISC
102,Cookies,MISC
102,Vous pouvez configurer,MISC
102,Cookies,MISC
102,Terminal,ORG
102,Terminal,MISC
102,Terminal,MISC
102,Internet,MISC
103,Page not found,PER
103,Fonctionnel Fonctionnel Toujours,PER
103,Statistiques Statistiques,PER
103,Marketing Marketing,PER
103,Gérer,PER
103,Gérer,PER
103,Accepter Refuser,MISC
103,Enregistrer,PER
103,Mentions,MISC
103,Aller,PER
103,Menu,MISC
103,La Vie Forbes,MISC
103,Sport Business,ORG
103,Immobilier Boutique,ORG
103,Acheter Rechercher,PER
103,Accueil Actu Cover Stories,PER
103,La Vie Forbes,MISC
103,Sport Business,ORG
103,Immobilier Boutique,ORG
103,La Vie Forbes,MISC
103,Sport Business,ORG
103,Immobilier Boutique,ORG
103,ACHETER,ORG
103,Rechercher Rechercher,PER
103,l'Afrique,LOC
103,Nous sommes,MISC
103,Rechercher Rechercher,PER
103,Accédez,LOC
103,Forbes,ORG
103,Bénéficiez,PER
103,l'Afrique,LOC
103,Facebook Linkedin Instagram,PER
103,Twitter Tiktok,ORG
103,Forbes Afrique,LOC
103,Paris,LOC
103,Par mail,MISC
103,Abonnez,PER
103,Forbes,ORG
103,Afrique,LOC
103,Média Kit,PER
104,Machine Learning,MISC
104,ML,MISC
104,Afrique,LOC
104,Franco-Centrafricaine,LOC
104,Kathleen Kallot,PER
105,Nigérian Aliko Dangote,ORG
105,Mariya,LOC
105,Halima,LOC
105,Fatima,LOC
106,Bitcoin,LOC
107,Fonctionnel Fonctionnel Toujours,PER
107,Statistiques Statistiques,PER
107,Marketing Marketing,PER
107,Gérer,PER
107,Gérer,PER
107,Accepter Refuser,MISC
107,Enregistrer,PER
107,Mentions,MISC
107,La Vie Forbes,MISC
107,Sport Business,ORG
107,Immobilier Boutique,ORG
107,La Nature En Majesté Saviez,MISC
107,Gabon,LOC
107,Afrique,LOC
107,"Les Promesses Du ""Dernier Eden",MISC
107,Afrique,LOC
107,Gabon,LOC
107,Lire,MISC
107,Nouveau Levier De Croissance Lancé,ORG
107,Bénin,LOC
107,Lire,MISC
107,Évasion Focus E-Tourisme : Le Voyage de Ses Rêves,ORG
107,Portée de Clic !,LOC
107,Évasion,MISC
107,La Vie Forbes Luxe,MISC
107,Cœur du Masaï Mara Niché,MISC
107,Kileleoni Hill,LOC
107,Masaï Mara,LOC
107,Kenya,LOC
107,hôtel Wild Hill,LOC
107,Évasion Portraits & Interviews Mariam N'Diaye,MISC
107,Jeunes du Monde,ORG
107,Entier Pensent,PER
107,Broke & Abroad Quand Ils Veulent Voyager,MISC
107,Broke & Abroad,MISC
107,Voyager Solo,MISC
107,Mariam N'Diaye,PER
107,Évasion,MISC
107,La Vie Forbes,MISC
107,Travel Guide De Forbes Afrique,MISC
107,Côte d'Ivoire,LOC
107,Traveller Guide De Forbes Afrique,MISC
107,Côte d,LOC
108,Fonctionnel Fonctionnel Toujours,PER
108,Statistiques Statistiques,PER
108,Marketing Marketing,PER
108,Gérer,PER
108,Gérer,PER
108,Accepter Refuser,MISC
108,Enregistrer,PER
108,Mentions,MISC
108,La Vie Forbes,MISC
108,Sport Business,ORG
108,Immobilier Boutique,ORG
108,Forbes,ORG
108,La Vie Forbes Luxe,MISC
108,Fondateur de la,MISC
108,Paris,LOC
108,Cotonou,LOC
108,Dakar,LOC
108,Goya,LOC
108,Lire,MISC
108,La Vie Forbes Luxe,MISC
108,Chausseur Togolais,MISC
108,Luxe À,MISC
108,Togo,LOC
108,BrandVoice,MISC
108,La Vie Forbes Luxe,MISC
108,Nouvelle Frontière de l'Immobilier de Luxe,MISC
108,Miami,LOC
108,Évasion La Vie Forbes Luxe,MISC
108,Cœur du Masaï Mara Niché,MISC
108,Kileleoni Hill,LOC
108,Masaï Mara,LOC
108,Kenya,LOC
108,hôtel Wild Hill,LOC
108,BrandVoice,MISC
108,La Vie Forbes Luxe,MISC
108,Croisières de Luxe,ORG
108,Conquête du Marché Africain Créée,MISC
108,Explora Journeys,PER
108,MSC Groupe,LOC
108,Lire,MISC
108,La Vie Forbes Luxe,MISC
108,Iconic Africa,MISC
108,Franco-Ivoirienne Laureen Kouassi-Olsson,PER
109,Afrique,LOC
109,FMCT,ORG
109,Fonds souverain gabonais,ORG
110,MMA,ORG
110,Francis Ngannou,PER
110,Prédator,MISC
111,Khan Kanga,PER
111,Suwa Concept,MISC
111,Abidjan,LOC
111,Forbes,ORG
111,Côte d'Ivoire,LOC
112,France,LOC
112,Europe,LOC
112,Showing 1–16 of 28,MISC
113,JavaScript,ORG
113,JavaScript,ORG
114,La Newsletter,MISC
114,De Forbes Afrique,LOC
114,Recevez Régulièrement,PER
114,Nos Derniers Articles Publiés,MISC
114,Bonne Lecture,PER
115,Forbes Afrique,ORG
117,Africains,LOC
117,Pokou Abalé,PER
117,Secteur Sous-Financé Pourtant,LOC
117,HealthTech,MISC
117,Banque africaine de développement,ORG
117,BAD,ORG
117,l'Afrique,LOC
118,Paris,LOC
118,–,MISC
118,L'Espoir,MISC
118,Bénin,LOC
118,Jean-Wilfried Kemajou,PER
118,Acteur –,PER
118,Quantum Surgical,MISC
118,Epione,ORG
118,Epione,PER
118,Prix Galien USA,MISC
118,Nobel de la pharmaceutique,MISC
118,Bénin,LOC
118,Bertin Nahum,PER
118,Forbes,ORG
118,Afrique,LOC
118,Bénin,LOC
118,Afrique,LOC
118,Pays des Agodjié,LOC
118,Bénin,LOC
118,vaudou,LOC
118,Forbes Afrique,ORG
118,Bénin,LOC
118,Afrique de l'Ouest,LOC
118,HealthTech,MISC
118,Gros,PER
118,Banque africaine de développement,ORG
118,BAD,ORG
118,HealthTech,MISC
118,REMA,ORG
118,Jean-Louis Benae,PER
118,Cameroun,LOC
118,Brain Project Africa,MISC
118,Afrique,LOC
118,Code culturel des affaires,MISC
118,Bénin,LOC
118,Béninois,LOC
118,Ayra Starr,PER
118,Sèssimè,MISC
118,Romuald Hazoumé,PER
118,Marie-Cécile Zinsou,PER
118,Djimon Hounsou,PER
118,Shirazee,PER
118,Gaëlle Prudencio,MISC
118,Jules Koundé,PER
118,Georgina Viou,PER
118,Angélique Kidjo,PER
118,Walk of Fame,ORG
118,Hollywood,LOC
118,BrandVoice,MISC
118,Africa School of Governance,ORG
118,ASG,ORG
118,Kingsley Moghalu,PER
118,ASG,ORG
118,Version Digitale,MISC
119,Paris,LOC
119,–,MISC
119,L'Espoir,MISC
119,Bénin,LOC
119,Jean-Wilfried Kemajou,PER
119,Acteur –,PER
119,Quantum Surgical,MISC
119,Epione,ORG
119,Epione,PER
119,Prix Galien USA,MISC
119,Nobel de la pharmaceutique,MISC
119,Bénin,LOC
119,Bertin Nahum,PER
119,Forbes,ORG
119,Afrique,LOC
119,Bénin,LOC
119,Afrique,LOC
119,Pays des Agodjié,LOC
119,Bénin,LOC
119,vaudou,LOC
119,Forbes Afrique,ORG
119,Bénin,LOC
119,Afrique de l'Ouest,LOC
119,HealthTech,MISC
119,Gros,PER
119,Banque africaine de développement,ORG
119,BAD,ORG
119,HealthTech,MISC
119,REMA,ORG
119,Jean-Louis Benae,PER
119,Cameroun,LOC
119,Brain Project Africa,MISC
119,Afrique,LOC
119,Code culturel des affaires,MISC
119,Bénin,LOC
119,Béninois,LOC
119,Ayra Starr,PER
119,Sèssimè,MISC
119,Romuald Hazoumé,PER
119,Marie-Cécile Zinsou,PER
119,Djimon Hounsou,PER
119,Shirazee,PER
119,Gaëlle Prudencio,MISC
119,Jules Koundé,PER
119,Georgina Viou,PER
119,Angélique Kidjo,PER
119,Walk of Fame,ORG
119,Hollywood,LOC
119,BrandVoice,MISC
119,Africa School of Governance,ORG
119,ASG,ORG
119,Kingsley Moghalu,PER
119,ASG,ORG
120,Bénin,LOC
120,Afrique,LOC
120,Pays des Agodjié,LOC
120,HealthTech,MISC
120,Gros,PER
121,Forbes Afrique,LOC
121,DP World,MISC
121,Newtown Partners,PER
121,Saviu,MISC
121,Investment,ORG
121,Axian Ventures,PER
121,Health54,MISC
121,CFAO,ORG
121,Objectif,PER
121,Cameroun,LOC
121,Côte d'Ivoire,LOC
121,Sénégal,LOC
121,Gabon,LOC
121,Waspito,PER
121,Jean Lobe Lobe,PER
121,Health54,ORG
121,Fondation Bill,MISC
121,Melinda Gates,PER
121,Waspito,PER
121,Afrique,LOC
121,Waspito,PER
121,Launch Africa Ventures,MISC
121,Newtown Partners,PER
121,Bamboo Capital Partner,ORG
121,Orange Ventures,MISC
121,Saviu Ventures,MISC
121,Plug and Play,ORG
121,BringCom,ORG
121,Waspito,PER
122,VivaTech,MISC
122,Paris,LOC
122,start-up camerounaise,LOC
123,Gicmed,PER
123,Yaoundé,LOC
123,Conrad Tankou,PER
123,Prix des jeunes innovateurs africains,MISC
123,Innovations in healthproduct,MISC
123,Mai 2021,MISC
123,Salient Advisory,PER
123,Salient Advisory,PER
123,L'Afrique du Sud,LOC
123,Nigeria,LOC
123,Ghana,LOC
123,Kenya,LOC
123,Afrique francophone,LOC
123,Salient Advisory,PER
123,Salient Advisory,PER
123,Kenya,LOC
123,Ghana,LOC
123,Nigeria,LOC
123,Konga,PER
123,Jumia,LOC
123,Copia,MISC
123,Konga,PER
123,Nigeria,LOC
123,Copia,LOC
123,Kenya,LOC
123,Jumia-,ORG
123,–,MISC
123,Konga,PER
123,Konga Health,ORG
123,US,LOC
123,Briter Bridges,PER
123,AfricaHealth,ORG
123,Yodawy,LOC
123,DrugStoc,MISC
123,RxAll,ORG
123,mPharma,MISC
123,Afrique francophone,LOC
123,Waspito,PER
123,Susu,PER
123,CarePoint,MISC
123,Salient Advisory,PER
124,Afrique,LOC
124,Gros,PER
124,Béninois,LOC
124,Olivia Yéré Daubrey ANGÉLIQUE,PER
124,AUTRICE,ORG
124,COMPOSITRICE,ORG
124,INTERPRÈTE,ORG
124,Angélique Kidjo,PER
124,Chambre de commerce d'Hollywood,LOC
124,Walk of Fame,ORG
124,Bénin,LOC
124,Patrice Talon,PER
124,Ouidah,LOC
125,Gros,PER
125,Gabonais,LOC
125,Gabon,LOC
125,pays des Panthères,LOC
126,Sedjro Judicaël,PER
126,SCEM,ORG
126,Supply Chain Economy Management,MISC
126,International Supply Chain Education Alliance,ORG
126,ISCEA,ORG
126,États-Unis,LOC
126,L'Afrique,LOC
126,ISCEA,ORG
126,Europe,LOC
126,Moyen-Orient,LOC
126,Afrique,LOC
126,EMEA,ORG
126,Sedjro,MISC
126,Agoua,PER
126,International Supply Chain Education Alliance,ORG
126,ISCEA,ORG
126,États-Unis,LOC
126,SCEM,ORG
126,Executives,LOC
126,Afrique,LOC
126,Sedjro Agoua,PER
126,Asie,LOC
126,Amérique du Nord,LOC
126,SCEM & ISCEA,MISC
126,workshop,MISC
126,Dubaï,LOC
126,Singapour,LOC
126,Maroc,LOC
126,Rwanda,LOC
126,Dubaï,LOC
126,Sedjro Agoua,PER
126,Executives,LOC
126,Sedjro Agoua,PER
126,SCEM,MISC
126,Afrique francophone,LOC
126,Executives,LOC
126,ISCEA,ORG
126,Objectif,MISC
126,ISCEA,ORG
126,Executives,LOC
126,Agoua,PER
126,Jean-Eudes Viayinon,PER
126,Executives,LOC
126,SCEM,MISC
126,ISCEA,MISC
126,SCEM,MISC
126,ISCEA,MISC
126,École nationale d'économie appliquée et de management,ORG
126,ENEAM,LOC
126,Bénin,LOC
126,ISCEA,ORG
126,Massachusetts Institute of Technology,ORG
126,MIT,ORG
126,Sedjro Agoua,PER
126,USAID,ORG
126,Agence américaine pour le développement international,ORG
126,Afrique,LOC
126,SCEM,MISC
